No.,Letra,Correlativo,Origen,Año,Epoca,Fecha,Número,Página,Sección,Título,Subtítulo,Autores,Tema 1,Tema 2,Tema 3,Tema 4,Tema 5,Revisado,Corrección_Ortográfica,Revisión_LT_Errores
1,Z,1.37,Prensa Libre,LXXIV,,10/11/2024,24754,9,Plt,100 años del Parque Zoológico Nacional la Aurora,,-,Zoológico - Guatemala,Zoologico - La Aurora,100 años,,,,,
2,Z,1.36,Prensa Libre,LXVII,,11/08/2018,22495,20,-,"Un lugar para convivir, aprender y disfrutar",,Oscar Fernando García,Zoológico - Guatemala,Convivencia,,,,,,
3,Z,1.35,Prensa Libre,LXVII,,1/03/2018,22334,27,Ciudades,Tres nNoches de Luna con toque especial,,Eduardo González ,Zoológico - Guatemala,Activdades nocturnas,,,,,,
4,Z,1.34,Prensa Libre,LXVII,,19/02/2018,22324,33,Imágenes,-,,José Manuel Patzán,Zoológico - Guatemala,Fauna,,,,,,
5,Z,1.33,Prensa Libre,LXVII,,3/12/2017,22248,,-,"Más que un zoológico, una familia",,Älvaro Interiano ,Zoológico - Guatemala,Animales,,,,,,
6,Z,1.32,Prensa Libre,LXVII,,1/08/2017,22124,21,Ciudades,Leon-O es el rey del zoológico ,,Edwin Pitán ,Zoológico - Guatemala,Muerte - Causas,,,,,,
7,Z,1.31,Siglo XXI ,24,,14/02/2014,9501,23,Vida,Disfruta de un cariño tamaño elefante,,Farah Illescas,Zoológico - Guatemala,Zoológico La Aurora,Elefanta Trompita,,,,,
8,Z,1.3,Prensa Libre,LXIII,,9/02/2024,20871,18,Departamental,RESERVA TIENE EJEMPLARES DE 125 ESPECIES Hay dos nuevos huéspedes,,Carlos Paredes Santa Rosa,Zoológico - Guatemala,Autosafari Chapín ,Nuevas Crías,,,,,
9,Z,1.29,Siglo XXI ,-,,3/11/2013,230,8-9,Turismo,REDESCUBRA EL ZOOLÓGICO LA AURORA ,,"Byron Quiñónez, Juan Sisay",Zoológico - Guatemala,Zoologico La Aurora,,,,,,
10,Z,1.28,El Periódico,17,,29/09/2013,6037,16-17,Reportaje,¿Dónde está el pingüino?,,Susana de León ,Zoológico - Guatemala,Pingüinos de Humboldt,,,,,,
11,Z,1.27,Prensa Libre,-,,23/06/2013,465,16-17,Ciudad ,El más grande de Centramérica,,"Ana Lucía Gonzáles, Benildo Concoguá",Zoológico - Guatemala,Zoológico La Aurora,,,,,,
12,Z,1.26,Prensa Libre,LXII,,30/05/2013,20618,52-53,Buena vida ,ZOOLÓGICO LA AURORA TIENE CAUTIVADORES INQUILINOS Pingúinos antárticos alegran a Guatemala,,Brenda Martínez Ocio,Zoológico - Guatemala,Zoológico La Aurora,Programa de Cria del pingüino de Humbolt,,,,,
13,Z,1.25,Prensa Libre,LXII,,7/05/2013,20595,12,Nacional,Zoológicos La Aurora exhibe a 12 pingüinos,,Alex Rojas,Zoológico - Guatemala,Zoológico La Aurora,Pingüinos Humboldt,,,,,
14,Z,1.24,Prensa Libre,LXII,,16/04/2013,,40-41,Buena Vida,Fascinante mundo acuatico,,"Patricia Orellana, Alfredo Vicente",Zoologico - Guatemala,Zoologico - La Aurora,Acuario,,,,,
15,Z,1.23,El Periódico,17,,12/01/2013,,16,-,"Un saludable ""orix cimitarra"" crece en La Aurora",,Jesus Alfonso,Zoologico - Guatemala,Zoologico - La Aurora,orix cimitarra,,,,,
16,Z,1.22,Prensa Libre,LXI,,19/07/2012,20307,54,Buena Vida,PARQUE VIVE UNA ERA COMPLETAMENTE RENOVADA,,"Patricia Orellana, Alfredo Vicente",Zoologico - Guatemala,Zoologico - La Aurora,,,,,,
17,Z,1.21,Prensa Libre,LX,,23/11/2010,19711,44,Buena Vida,Sueño con Pinguinos,,"Patricia Orellana, Lucy Calderon ",Zoologico - Guatemala,Pinguinos,,,,,,
18,Z,1.2,Prensa Libre,59,,21/10/2009,19317,59,Buena Vida,Diez bebés en el ZOO,,Gustavo Adolfo Montenegro,Zoologico - Guatemala,Zoologico - La Aurora,Pediatría,,,,,
